# Marker IDs can be arbitrary strings.
# Marker ID,	Time (in s)
1,	1.7443
1,	3.7443
1,	5.7443
3,	7.7199
1,	7.7443
1,	9.7438
1,	11.7439
1,	13.7443
1,	15.7443
1,	17.6937
1,	19.6937
4,	20.3162
1,	21.6937
1,	23.6937
1,	25.6937
1,	27.6937
1,	29.6937
2,	31.6937
1,	33.6937
3,	34.0962
1,	35.6937
2,	37.6937
1,	39.6937
1,	41.6937
1,	43.6937
1,	45.6937
1,	47.6937
1,	49.6937
1,	51.6937
1,	53.6937
4,	54.8608
1,	55.6937
1,	57.6937
1,	59.6937
1,	61.6727
2,	63.6727
1,	65.6727
1,	67.6727
1,	69.6727
1,	71.6727
1,	73.6727
3,	74.1567
2,	75.6727
1,	77.6498
1,	79.6498
1,	81.6498
1,	83.6498
2,	85.6329
1,	87.6329
1,	89.6329
4,	90.1288
1,	91.6329
1,	93.6329
1,	95.6329
1,	97.6329
1,	99.6329
1,	101.6329
1,	103.6329
1,	105.6329
1,	107.6329
1,	109.6329
1,	111.6329
1,	113.6329
1,	115.6329
3,	116.7168
1,	117.6329
1,	119.6329
2,	121.6320
1,	123.6329
1,	125.6329
1,	127.6329
1,	129.6329
1,	131.6329
1,	133.6329
1,	135.6329
1,	137.6329
1,	139.6321
4,	140.3099
1,	141.5515
2,	143.5515
1,	145.5509
1,	147.5509
1,	149.5509
1,	151.5509
1,	153.5509
1,	155.5509
1,	157.5509
2,	159.5509
1,	161.5509
3,	162.4964
1,	163.5504
1,	165.5485
1,	167.5493
1,	169.5493
1,	171.5493
1,	173.5493
1,	175.5493
1,	177.5493
1,	179.5493
1,	181.5493
2,	183.5493
2,	185.5493
1,	187.5493
1,	189.5493
1,	191.5493
4,	191.6623
1,	193.5493
1,	195.5493
1,	197.5493
1,	199.5395
1,	201.5395
1,	203.5395
1,	205.5395
1,	207.5395
2,	209.5395
3,	210.4430
1,	211.5395
1,	213.5391
1,	215.5395
1,	217.5395
1,	219.5395
1,	221.5395
4,	221.7151
1,	223.5395
1,	225.5395
1,	227.5391
1,	229.5387
1,	231.5395
1,	233.5395
1,	235.5395
1,	237.5395
1,	239.5395
3,	240.6819
1,	241.5395
1,	243.5395
1,	245.5395
1,	247.5395
1,	249.5391
1,	251.5395
2,	253.5395
1,	255.5395
1,	257.5395
1,	259.5109
1,	261.5109
1,	263.5109
4,	264.0899
1,	265.5078
1,	267.5078
1,	269.5078
1,	271.5078
1,	273.5078
3,	274.9656
1,	275.5078
1,	277.5078
1,	279.5078
1,	281.5078
1,	283.5069
1,	285.5078
4,	285.6977
2,	287.5078
1,	289.5078
1,	291.5078
1,	293.5078
1,	295.5078
3,	297.3296
1,	297.5078
1,	299.5078
2,	301.5078
1,	303.5078
1,	305.5078
2,	307.5078
1,	309.5078
4,	311.1133
1,	311.5078
1,	313.5078
1,	315.5078
1,	317.5078
1,	319.5019
3,	321.3885
1,	321.5018
1,	323.5018
1,	325.5018
1,	327.5010
1,	329.5018
1,	331.5018
1,	333.5018
4,	335.1726
1,	335.5018
